non.decision.time drift sd theta gamma scalar_item_not_seen_drift scalar_item_not_seen_noise loglik coarse
0 0.0015 0.07 1 1 1 1 3071.18139669422 1
0 0.0015 0.07 1 1 1 1 3087.87461701947 1
0 0.0015 0.07 1 1 1 1 3079.720958994 1
0 0.0015 0.07 1 1 1 1 3083.48702364661 1
0 0.0015 0.07 1 1 1 1 3073.80143994181 1
0 0.0015 0.07 1 1 1 1 3078.06134080256 1
0 0.0015 0.07 1 1 1 1 3091.33095981059 1
0 0.0015 0.07 1 1 1 1 3092.31173293602 1
0 0.0015 0.07 1 1 1 1 3083.68479452797 1
0 0.0015 0.07 1 1 1 1 3092.93621883262 1
0 0.0015 0.07 1 1 1 1 3076.17628879214 1
0 0.0015 0.07 1 1 1 1 3077.50801949565 1
0 0.0015 0.07 1 1 1 1 3089.26860756826 1
0 0.0015 0.07 1 1 1 1 3086.63938184612 1
0 0.0015 0.07 1 1 1 1 3082.83506522897 1
0 0.0015 0.07 1 1 1 1 3090.07817509233 1
0 0.0015 0.07 1 1 1 1 3086.97717969575 1
0 0.0015 0.07 1 1 1 1 3089.91697344643 1
0 0.0015 0.07 1 1 1 1 3081.27378533016 1
0 0.0015 0.07 1 1 1 1 3090.85486595431 1
0 0.0015 0.07 1 1 1 1 3089.86855543247 1
0 0.0015 0.07 1 1 1 1 3083.20115396131 1
0 0.0015 0.07 1 1 1 1 3096.67140196258 1
0 0.0015 0.07 1 1 1 1 3106.73255351633 1
0 0.0015 0.07 1 1 1 1 3082.83302741767 1
0 0.0015 0.07 1 1 1 1 3081.98114065047 1
0 0.0015 0.07 1 1 1 1 3080.26774037642 1
0 0.0015 0.07 1 1 1 1 3083.49910744618 1
0 0.0015 0.07 1 1 1 1 3090.38973282341 1
0 0.0015 0.07 1 1 1 1 3082.03140997569 1
0 0.0015 0.07 1 1 1 1 3086.61072082216 1
0 0.0015 0.07 1 1 1 1 3073.26482436849 1
0 0.0015 0.07 1 1 1 1 3088.59666414791 1
0 0.0015 0.07 1 1 1 1 3083.13516873326 1
0 0.0015 0.07 1 1 1 1 3081.13297009723 1
0 0.0015 0.07 1 1 1 1 3089.77188050827 1
0 0.0015 0.07 1 1 1 1 3078.60760868316 1
0 0.0015 0.07 1 1 1 1 3087.11994028645 1
0 0.0015 0.07 1 1 1 1 3081.93780794771 1
