"id" "v1" "v2" "decision" "rt"
"10_1" 4 2 2 3173
"10_2" 3 2 2 1496
"10_3" 5 10 1 802
"10_4" 6 6 1 1600
"10_5" 6 7 1 1219
"10_9" 6 2 2 2169
"10_10" 3 3 2 1678
"10_11" 6 5 2 1057
"10_16" 5 8 1 760
"10_17" 6 8 2 875
"10_18" 4 6 1 1356
"10_19" 2 6 1 1174
"10_20" 9 9 1 5226
"10_22" 1 5 1 917
"10_23" 4 3 2 999
"10_24" 2 2 1 3024
"10_25" 4 3 2 3151
"10_26" 1 2 2 3109
"10_27" 6 8 2 1661
"10_28" 2 5 1 1423
"10_29" 8 3 2 1097
"10_30" 10 5 2 1254
"10_31" 2 4 1 1259
"10_32" 8 7 1 1319
"10_33" 3 3 2 2094
"10_34" 2 7 1 1100
"10_35" 4 7 1 1797
"10_36" 4 9 1 974
"10_38" 3 2 1 856
"10_39" 6 5 2 1336
"10_40" 3 2 2 7554
"10_41" 10 5 2 999
"10_42" 5 1 2 1078
"10_43" 9 6 2 977
"10_44" 6 6 1 1117
"10_45" 10 9 1 959
"10_46" 5 2 1 315
"10_47" 4 3 2 1981
"10_48" 3 4 1 798
"10_49" 7 2 2 657
"10_50" 5 8 1 1240
"10_51" 10 5 2 518
"10_52" 7 2 2 818
"10_53" 4 3 2 3725
"10_54" 6 2 2 918
"10_55" 4 7 1 1660
"10_56" 3 6 1 560
"10_57" 9 4 2 1193
"10_58" 1 3 1 1577
"10_59" 2 7 1 1555
"10_60" 3 7 1 698
"10_61" 6 8 2 817
"10_62" 8 6 2 6417
"10_63" 1 3 1 837
"10_64" 9 4 2 561
"10_65" 1 3 1 700
"10_66" 6 4 2 1296
"10_67" 1 4 1 441
"10_68" 2 6 1 1036
"10_69" 5 3 2 757
"10_70" 6 9 1 997
"10_71" 6 10 1 621
"10_72" 2 6 1 419
"10_73" 4 9 1 717
"10_74" 4 9 1 1632
"10_75" 6 10 1 896
"10_76" 6 10 1 239
"10_77" 6 8 1 856
"10_78" 2 1 2 1195
"10_79" 7 3 2 672
"10_80" 2 4 2 1685
"10_81" 2 6 1 877
"10_82" 4 6 1 718
"10_83" 9 10 1 3648
"10_84" 4 5 1 996
"10_85" 1 3 1 3868
"10_86" 4 3 1 837
"10_87" 10 10 2 2033
"10_88" 2 6 1 539
"10_89" 2 2 1 1275
"10_90" 3 6 1 736
"10_91" 5 4 1 2032
"10_92" 6 3 2 658
"10_93" 2 4 2 1522
"10_94" 4 4 1 640
"10_95" 4 1 2 558
"10_96" 5 5 1 1833
"10_97" 1 5 1 674
"10_98" 8 10 1 539
"10_99" 4 3 1 638
"10_100" 2 2 2 716
"11_1" 5 2 2 1477
"11_2" 9 8 2 1262
"11_3" 7 10 1 1849
"11_4" 8 2 2 4134
"11_5" 0 5 2 2668
"11_6" 8 8 2 3906
"11_7" 9 3 2 2185
"11_8" 2 7 1 1475
"11_9" 7 5 2 2842
"11_10" 10 7 2 1037
"11_11" 2 2 1 1591
"11_12" 2 7 2 1537
"11_13" 8 9 1 1454
"11_14" 4 9 1 2511
"11_15" 2 7 1 1493
"11_16" 1 2 2 1635
"11_17" 10 3 2 897
"11_18" 8 10 2 916
"11_19" 9 3 1 2451
"11_20" 2 8 1 1701
"11_21" 8 10 2 797
"11_22" 8 10 2 1181
"11_23" 8 1 2 1276
"11_24" 2 9 1 956
"11_25" 3 1 2 797
"11_26" 8 10 1 1196
"11_27" 10 7 2 1693
"11_28" 2 0 2 1337
"11_29" 8 1 1 4597
"11_30" 10 10 1 1935
"11_31" 10 10 1 1254
"11_32" 1 3 1 2374
"11_33" 8 10 1 718
"11_34" 8 5 1 2353
"11_35" 2 8 1 3987
"11_36" 9 5 2 1158
"11_37" 5 9 1 1214
"11_38" 0 7 2 4119
"11_39" 8 9 1 1160
"11_40" 8 8 2 1954
"11_41" 5 8 2 972
"11_42" 4 8 1 1337
"11_43" 9 7 2 719
"11_44" 5 8 2 837
"11_45" 1 5 1 1521
"11_46" 4 10 2 1116
"11_47" 3 5 1 1714
"11_48" 7 9 1 799
"11_49" 7 2 2 1115
"11_50" 5 8 2 860
"11_51" 0 3 1 3387
"11_52" 2 7 1 1992
"11_53" 8 2 2 1016
"11_54" 9 10 1 996
"11_55" 4 8 1 873
"11_56" 2 0 2 1099
"11_57" 4 8 2 770
"11_58" 0 3 2 935
"11_59" 9 8 2 640
"11_60" 2 5 2 1156
"11_61" 7 8 1 934
"11_62" 4 10 2 935
"11_63" 8 8 2 619
"11_64" 10 9 2 1135
"11_65" 6 0 1 1387
"11_66" 8 1 2 1954
"11_67" 1 5 1 1176
"11_68" 0 5 1 2211
"11_69" 1 5 1 897
"11_70" 7 4 2 2028
"11_71" 4 2 2 1059
"11_72" 8 2 2 913
"11_73" 7 7 1 1073
"11_74" 2 1 1 1674
"11_75" 4 10 1 718
"11_76" 8 8 2 1194
"11_77" 0 6 2 1316
"11_78" 9 10 2 274
"11_79" 8 5 2 760
"11_80" 2 9 1 515
"11_81" 2 1 2 1378
"11_82" 9 6 2 1178
"11_83" 2 8 1 896
"11_84" 10 5 1 826
"11_86" 10 7 2 588
"11_87" 8 2 2 762
"11_88" 3 10 1 517
"11_89" 0 0 2 1139
"11_90" 8 7 1 723
"11_91" 8 4 2 1282
"11_92" 6 10 1 459
"11_93" 4 5 1 738
"11_94" 8 1 2 579
"11_95" 8 9 1 897
"11_96" 1 1 1 1160
"11_97" 4 2 1 560
"11_98" 10 6 2 376
"11_99" 10 8 2 537
"11_100" 3 1 1 1292
"13_1" 1 2 1 3547
"13_2" 2 0 2 2611
"13_3" 2 3 2 6158
"13_4" 1 0 2 1913
"13_5" 2 2 1 11140
"13_6" 4 1 2 4184
"13_7" 0 0 1 8032
"13_8" 1 3 1 4067
"13_9" 3 2 2 3186
"13_10" 0 2 1 1813
"13_11" 1 4 1 2112
"13_12" 4 2 2 9268
"13_13" 1 3 1 1912
"13_14" 2 0 2 4958
"13_15" 3 0 2 4005
"13_16" 5 2 2 4166
"13_17" 2 3 1 1495
"13_18" 2 1 1 8829
"13_19" 2 4 1 2213
"13_20" 2 0 2 3064
"13_21" 5 0 2 7077
"13_22" 2 3 1 3108
"13_23" 3 2 1 9664
"13_24" 3 0 2 4405
"13_25" 4 3 2 4923
"13_26" 4 1 2 2871
"13_27" 1 3 1 2710
"13_28" 3 0 2 8131
"13_29" 1 5 1 2551
"13_30" 0 0 1 8052
"13_31" 3 1 2 4546
"13_32" 2 1 1 4963
"13_33" 4 4 1 14572
"13_34" 1 4 2 4921
"13_35" 1 2 1 10450
"13_36" 0 0 2 4522
"13_37" 2 0 2 6756
"13_38" 4 3 2 9303
"13_39" 2 2 1 4801
"13_40" 2 0 2 2672
"13_41" 0 1 2 2012
"13_42" 6 2 2 4368
"13_43" 4 1 2 5259
"13_44" 2 2 1 2830
"13_45" 3 2 2 3328
"13_46" 1 0 2 4248
"13_47" 2 2 1 8892
"13_48" 1 3 1 1406
"13_49" 1 2 1 3905
"13_50" 5 3 2 10134
"13_51" 0 1 1 5238
"13_52" 2 4 1 1337
"13_53" 2 1 1 2231
"13_54" 2 5 1 1855
"13_55" 1 1 1 1932
"13_56" 2 2 1 5145
"13_57" 5 4 2 10903
"13_58" 1 0 2 1691
"13_59" 2 3 2 1915
"13_60" 4 0 2 1673
"13_61" 1 3 1 8711
"13_62" 0 0 2 677
"13_63" 3 2 2 6388
"13_64" 2 0 2 1845
"13_65" 4 2 2 7540
"13_66" 2 0 1 1696
"13_67" 4 5 1 9429
