Subject Set.size Drift.Rate Theta SD Non.decision.time Nr.Reps Log.Likelihood Coarse Extension
-1 0 0.002 0.2 0.02 0 5000 -260.078797518209 1 0
-1 0 0.002 0.4 0.02 0 5000 -251.28782399148 1 0
-1 0 0.002 0.6 0.02 0 5000 -242.565128057111 1 0
-1 0 0.002 0.8 0.02 0 5000 -236.683198420355 1 0
-1 0 0.002 1 0.02 0 5000 -233.576368965409 1 0
-1 0 0.002 0.2 0.04 0 5000 -145.55604074026 1 0
-1 0 0.002 0.4 0.04 0 5000 -142.299764813378 1 0
-1 0 0.002 0.6 0.04 0 5000 -139.621744643831 1 0
-1 0 0.002 0.8 0.04 0 5000 -137.555931493765 1 0
-1 0 0.002 1 0.04 0 5000 -135.889079938788 1 0
-1 0 0.002 0.2 0.06 0 5000 -125.706225771798 1 0
-1 0 0.002 0.4 0.06 0 5000 -123.834291449104 1 0
-1 0 0.002 0.6 0.06 0 5000 -122.455255791361 1 0
-1 0 0.002 0.8 0.06 0 5000 -121.145404750492 1 0
-1 0 0.002 1 0.06 0 5000 -120.183804010645 1 0
-1 0 0.002 0.2 0.08 0 5000 -131.101694988135 1 0
-1 0 0.002 0.4 0.08 0 5000 -130.02449652327 1 0
-1 0 0.002 0.6 0.08 0 5000 -128.871909084768 1 0
-1 0 0.002 0.8 0.08 0 5000 -128.26166988849 1 0
-1 0 0.002 1 0.08 0 5000 -127.418735684937 1 0
-1 0 0.002 0.2 0.1 0 5000 -148.391750946034 1 0
-1 0 0.002 0.4 0.1 0 5000 -147.336976719873 1 0
-1 0 0.002 0.6 0.1 0 5000 -146.727729961825 1 0
-1 0 0.002 0.8 0.1 0 5000 -146.053902816863 1 0
-1 0 0.002 1 0.1 0 5000 -145.524840575508 1 0
-1 0 0.004 0.2 0.02 0 5000 -236.984767974164 1 0
-1 0 0.004 0.4 0.02 0 5000 -225.574021628632 1 0
-1 0 0.004 0.6 0.02 0 5000 -221.388537343009 1 0
-1 0 0.004 0.8 0.02 0 5000 -215.558721049667 1 0
-1 0 0.004 1 0.02 0 5000 -213.218914353991 1 0
-1 0 0.004 0.2 0.04 0 5000 -137.204455807531 1 0
-1 0 0.004 0.4 0.04 0 5000 -133.647574469483 1 0
-1 0 0.004 0.6 0.04 0 5000 -131.363766935444 1 0
-1 0 0.004 0.8 0.04 0 5000 -131.218893931851 1 0
-1 0 0.004 1 0.04 0 5000 -131.489275340644 1 0
-1 0 0.004 0.2 0.06 0 5000 -121.357338051883 1 0
-1 0 0.004 0.4 0.06 0 5000 -119.058311063301 1 0
-1 0 0.004 0.6 0.06 0 5000 -117.820548453776 1 0
-1 0 0.004 0.8 0.06 0 5000 -117.173536259843 1 0
-1 0 0.004 1 0.06 0 5000 -117.199884468198 1 0
-1 0 0.004 0.2 0.08 0 5000 -128.337652188145 1 0
-1 0 0.004 0.4 0.08 0 5000 -126.571259776394 1 0
-1 0 0.004 0.6 0.08 0 5000 -125.905907401832 1 0
-1 0 0.004 0.8 0.08 0 5000 -125.365886300235 1 0
