"fixloc" "fixdur" "fixnr" "id"
1 98 1 "10_1"
2 426 2 "10_1"
1 319 3 "10_1"
2 259 4 "10_1"
1 1472 5 "10_1"
2 382 6 "10_1"
1 217 7 "10_1"
2 299 1 "10_2"
1 397 2 "10_2"
2 499 3 "10_2"
1 301 4 "10_2"
1 540 1 "10_3"
2 262 2 "10_3"
1 341 1 "10_4"
2 618 2 "10_4"
1 402 3 "10_4"
2 239 4 "10_4"
1 316 1 "10_5"
2 700 2 "10_5"
1 203 3 "10_5"
2 197 1 "10_9"
1 180 2 "10_9"
2 416 3 "10_9"
1 697 4 "10_9"
2 419 5 "10_9"
1 260 6 "10_9"
1 339 1 "10_10"
2 940 2 "10_10"
1 399 3 "10_10"
1 1057 1 "10_11"
1 340 1 "10_16"
2 420 2 "10_16"
1 356 1 "10_17"
2 499 2 "10_17"
1 20 3 "10_17"
1 1356 1 "10_18"
1 458 1 "10_19"
2 516 2 "10_19"
1 200 3 "10_19"
1 1237 1 "10_20"
2 538 2 "10_20"
1 281 3 "10_20"
2 219 4 "10_20"
1 738 5 "10_20"
2 1515 6 "10_20"
1 498 7 "10_20"
2 200 8 "10_20"
1 598 1 "10_22"
2 319 2 "10_22"
1 281 1 "10_23"
2 299 2 "10_23"
1 419 3 "10_23"
1 319 1 "10_24"
2 578 2 "10_24"
1 298 3 "10_24"
2 896 4 "10_24"
1 862 5 "10_24"
2 71 6 "10_24"
1 318 1 "10_25"
2 739 2 "10_25"
1 563 3 "10_25"
2 873 4 "10_25"
1 658 5 "10_25"
1 441 1 "10_26"
2 518 2 "10_26"
1 1632 3 "10_26"
2 518 4 "10_26"
1 320 1 "10_27"
2 280 2 "10_27"
1 582 3 "10_27"
2 399 4 "10_27"
1 80 5 "10_27"
1 346 1 "10_28"
2 717 2 "10_28"
1 360 3 "10_28"
1 518 1 "10_29"
2 498 2 "10_29"
1 81 3 "10_29"
1 438 1 "10_30"
2 458 2 "10_30"
1 358 3 "10_30"
1 219 1 "10_31"
2 421 2 "10_31"
1 479 3 "10_31"
2 140 4 "10_31"
1 339 1 "10_32"
2 362 2 "10_32"
1 618 3 "10_32"
1 196 1 "10_33"
2 421 2 "10_33"
1 720 3 "10_33"
2 418 4 "10_33"
1 339 5 "10_33"
1 299 1 "10_34"
2 481 2 "10_34"
1 320 3 "10_34"
1 299 1 "10_35"
2 840 2 "10_35"
1 599 3 "10_35"
2 59 4 "10_35"
2 217 1 "10_36"
1 737 2 "10_36"
2 20 3 "10_36"
1 216 1 "10_38"
2 640 2 "10_38"
1 339 1 "10_39"
2 179 2 "10_39"
1 818 3 "10_39"
1 399 1 "10_40"
2 420 2 "10_40"
1 740 3 "10_40"
2 2210 4 "10_40"
1 1057 5 "10_40"
2 458 6 "10_40"
1 737 7 "10_40"
2 798 8 "10_40"
1 735 9 "10_40"
1 539 1 "10_41"
2 259 2 "10_41"
1 201 3 "10_41"
1 299 1 "10_42"
2 420 2 "10_42"
1 359 3 "10_42"
1 579 1 "10_43"
2 398 2 "10_43"
1 399 1 "10_44"
2 642 2 "10_44"
1 76 3 "10_44"
1 298 1 "10_45"
2 541 2 "10_45"
1 120 3 "10_45"
1 216 1 "10_46"
2 79 2 "10_46"
1 20 3 "10_46"
1 387 1 "10_47"
2 239 2 "10_47"
1 518 3 "10_47"
2 618 4 "10_47"
1 219 5 "10_47"
2 259 1 "10_48"
1 539 2 "10_48"
2 140 1 "10_49"
1 517 2 "10_49"
1 225 1 "10_50"
2 517 2 "10_50"
1 478 3 "10_50"
2 20 4 "10_50"
1 339 1 "10_51"
2 179 2 "10_51"
1 339 1 "10_52"
2 419 2 "10_52"
1 60 3 "10_52"
2 199 1 "10_53"
1 278 2 "10_53"
2 2012 3 "10_53"
1 1236 4 "10_53"
1 359 1 "10_54"
2 398 2 "10_54"
1 161 3 "10_54"
1 380 1 "10_55"
2 460 2 "10_55"
1 440 3 "10_55"
2 380 4 "10_55"
1 279 1 "10_56"
2 281 2 "10_56"
1 240 1 "10_57"
2 316 2 "10_57"
1 200 3 "10_57"
2 378 4 "10_57"
1 59 5 "10_57"
1 219 1 "10_58"
2 338 2 "10_58"
1 239 3 "10_58"
2 781 4 "10_58"
2 179 1 "10_59"
1 259 2 "10_59"
2 279 3 "10_59"
1 818 4 "10_59"
2 20 5 "10_59"
1 379 1 "10_60"
2 319 2 "10_60"
1 219 1 "10_61"
2 419 2 "10_61"
1 179 3 "10_61"
1 220 1 "10_62"
2 1155 2 "10_62"
1 937 3 "10_62"
2 616 4 "10_62"
1 758 5 "10_62"
2 798 6 "10_62"
1 1933 7 "10_62"
1 498 1 "10_63"
2 339 2 "10_63"
1 461 1 "10_64"
2 100 2 "10_64"
1 220 1 "10_65"
2 480 2 "10_65"
1 520 1 "10_66"
2 715 2 "10_66"
1 61 3 "10_66"
1 219 1 "10_67"
2 222 2 "10_67"
1 578 1 "10_68"
2 458 2 "10_68"
1 359 1 "10_69"
2 398 2 "10_69"
1 339 1 "10_70"
2 537 2 "10_70"
1 121 3 "10_70"
1 511 1 "10_71"
2 110 2 "10_71"
1 179 1 "10_72"
2 240 2 "10_72"
2 220 1 "10_73"
1 458 2 "10_73"
2 39 3 "10_73"
1 498 1 "10_74"
2 637 2 "10_74"
1 418 3 "10_74"
2 79 4 "10_74"
1 179 1 "10_75"
2 478 2 "10_75"
1 239 3 "10_75"
2 239 1 "10_76"
2 358 1 "10_77"
1 319 2 "10_77"
2 179 3 "10_77"
1 299 1 "10_78"
2 597 2 "10_78"
1 299 3 "10_78"
1 373 1 "10_79"
2 299 2 "10_79"
1 402 1 "10_80"
2 761 2 "10_80"
1 522 3 "10_80"
2 380 1 "10_81"
1 298 2 "10_81"
2 199 3 "10_81"
2 299 1 "10_82"
1 419 2 "10_82"
1 339 1 "10_83"
2 458 2 "10_83"
1 577 3 "10_83"
2 300 4 "10_83"
1 597 5 "10_83"
2 319 6 "10_83"
1 220 7 "10_83"
2 278 8 "10_83"
1 260 9 "10_83"
2 300 10 "10_83"
1 398 1 "10_84"
2 538 2 "10_84"
1 60 3 "10_84"
1 340 1 "10_85"
2 418 2 "10_85"
1 817 3 "10_85"
2 380 4 "10_85"
1 756 5 "10_85"
2 478 6 "10_85"
1 279 7 "10_85"
2 400 8 "10_85"
1 378 1 "10_86"
2 459 2 "10_86"
1 319 1 "10_87"
2 418 2 "10_87"
1 1176 3 "10_87"
2 120 4 "10_87"
1 299 1 "10_88"
2 240 2 "10_88"
1 379 1 "10_89"
2 358 2 "10_89"
1 418 3 "10_89"
2 120 4 "10_89"
1 237 1 "10_90"
2 418 2 "10_90"
1 81 3 "10_90"
1 359 1 "10_91"
2 737 2 "10_91"
1 837 3 "10_91"
2 99 4 "10_91"
1 339 1 "10_92"
2 319 2 "10_92"
1 219 1 "10_93"
2 343 2 "10_93"
1 521 3 "10_93"
2 439 4 "10_93"
1 240 1 "10_94"
2 239 2 "10_94"
1 161 3 "10_94"
1 179 1 "10_95"
2 219 2 "10_95"
1 160 3 "10_95"
1 239 1 "10_96"
